GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2018;IPUMS_1;CTR;CTR_LON;CTR_LAT
MLI;Mali;Bamako;District;MLI.1_1;ML.BA;ML09;2231344;466009;Bamako;-7,99682;12,639065
MLI;Mali;Gao;Région;MLI.2_1;ML.GA;ML07;668410;466007;Gao;-0,039559;16,231598
MLI;Mali;Kayes;Région;MLI.3_1;ML.KY;ML01;2457204;466001;Kayes;-11,435886;14,445014
MLI;Mali;Kidal;Région;MLI.4_1;ML.KD;ML08;83490;466008;Kidal;1,406809;18,441585
MLI;Mali;Koulikoro;Région;MLI.5_1;ML.KK;ML02;2985338;466002;Koulikoro;-7,559633;12,859292
MLI;Mali;Mopti;Région;MLI.6_1;ML.MO;ML05;2509703;466005;Mopti;-4,189932;14,486663
MLI;Mali;Ségou;Région;MLI.7_1;ML.SG;ML04;2882102;466004;Ségou;-6,239361;13,437561
MLI;Mali;Sikasso;Région;MLI.8_1;ML.SK;ML03;3257816;466003;Sikasso;-5,685274;11,313217
MLI;Mali;Timbuktu;Région;MLI.9_1;ML.TB;ML06;831707;466006;Timbuktu;-3,00839;16,770498
