GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2018
MLI;Mali;Bamako;District;MLI.1_1;ML.BA;ML09;2231344
MLI;Mali;Gao;Région;MLI.2_1;ML.GA;ML07;668410
MLI;Mali;Kayes;Région;MLI.3_1;ML.KY;ML01;2457204
MLI;Mali;Kidal;Région;MLI.4_1;ML.KD;ML08;83490
MLI;Mali;Koulikoro;Région;MLI.5_1;ML.KK;ML02;2985338
MLI;Mali;Mopti;Région;MLI.6_1;ML.MO;ML05;2509703
MLI;Mali;Ségou;Région;MLI.7_1;ML.SG;ML04;2882102
MLI;Mali;Sikasso;Région;MLI.8_1;ML.SK;ML03;3257816
MLI;Mali;Timbuktu;Région;MLI.9_1;ML.TB;ML06;831707
