"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"NER";"Niger";"Agadez";"Département";"NER.1_1";"NE.AG"
"NER";"Niger";"Diffa";"Département";"NER.2_1";"NE.DF"
"NER";"Niger";"Dosso";"Département";"NER.3_1";"NE.DS"
"NER";"Niger";"Maradi";"Département";"NER.4_1";"NE.MA"
"NER";"Niger";"Niamey";"Communauté Urbaine";"NER.5_1";"NE.NI"
"NER";"Niger";"Tahoua";"Département";"NER.6_1";"NE.TH"
"NER";"Niger";"Tillabéry";"Département";"NER.7_1";"NE.TL"
"NER";"Niger";"Zinder";"Département";"NER.8_1";"NE.ZI"
