"GID_0";"COUNTRY";"NAME_1";"TYPE_1";"GID_1";"HASC_1"
"TGO";"Togo";"Centre";"Région";"TGO.1_1";"TG.CE"
"TGO";"Togo";"Kara";"Région";"TGO.2_1";"TG.KA"
"TGO";"Togo";"Maritime";"Région";"TGO.3_1";"TG.MA"
"TGO";"Togo";"Plateaux";"Région";"TGO.4_1";"TG.PL"
"TGO";"Togo";"Savanes";"Région";"TGO.5_1";"TG.SA"
