GID_0;COUNTRY;NAME_1;TYPE_1;GID_1;HASC_1;ADMIN1PCOD;POP2021;CTR;CTR_LON;CTR_LAT;IPUMS_1
TGO;Togo;Centre;Région;TGO.1_1;TG.CE;TG01;800234;Sokodé;1,14009;8,98434;768002
TGO;Togo;Kara;Région;TGO.2_1;TG.KA;TG02;996851;Kara;1,19789;9,54898;768002
TGO;Togo;Maritime;Région;TGO.3_1;TG.MA;TG03;3387508;Tsévié;1,21335;6,42981;768001
TGO;Togo;Plateaux;Région;TGO.4_1;TG.PL;TG04;1775646;Atakpamé;1,1248;7,53198;768002
TGO;Togo;Savanes;Région;TGO.5_1;TG.SA;TG05;1059842;Dapaong;0,20314;10,86584;768003
