GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADM2PCODE;POP2019;IPUMS_2
BEN;Benin;Littoral;BEN.8_1;Cotonou;Commune;BEN.8.1_1;BJ.LI.CO;BJ0800;806243;204008001
BEN;Benin;Mono;BEN.9_1;Athiémè;Commune;BEN.9.1_1;BJ.MO.AT;BJ0901;67066;204009001
BEN;Benin;Mono;BEN.9_1;Bopa;Commune;BEN.9.2_1;BJ.MO.BO;BJ0902;114322;204009002
BEN;Benin;Mono;BEN.9_1;Comè;Commune;BEN.9.3_1;BJ.MO.CO;BJ0903;94976;204009003
BEN;Benin;Mono;BEN.9_1;Grand-Popo;Commune;BEN.9.4_1;BJ.MO.GP;BJ0904;68434;204009004
BEN;Benin;Mono;BEN.9_1;Houéyogbé;Commune;BEN.9.5_1;BJ.MO.HO;BJ0905;120982;204009005
BEN;Benin;Mono;BEN.9_1;Lokossa;NA;BEN.9.7_1;NA;BJ0906;124626;204009006
BEN;Benin;Ouémé;BEN.10_1;Adjarra;Commune;BEN.10.1_1;BJ.OU.AA;BJ1001;115678;204010001
BEN;Benin;Ouémé;BEN.10_1;Adjohoun;Commune;BEN.10.2_1;BJ.OU.AH;BJ1002;89435;204010002
BEN;Benin;Ouémé;BEN.10_1;Aguégués;Commune;BEN.10.3_1;BJ.OU.AG;BJ1003;52912;204010003
BEN;Benin;Ouémé;BEN.10_1;Akpro-Missérété;Commune;BEN.10.4_1;BJ.OU.AM;BJ1004;124309;204010004
BEN;Benin;Ouémé;BEN.10_1;Avrankou;Commune;BEN.10.5_1;BJ.OU.AV;BJ1005;152043;204010005
BEN;Benin;Ouémé;BEN.10_1;Bonou;Commune;BEN.10.6_1;BJ.OU.BO;BJ1006;52661;204010006
BEN;Benin;Ouémé;BEN.10_1;Dangbo;Commune;BEN.10.7_1;BJ.OU.DA;BJ1007;114493;204010007
BEN;Benin;Ouémé;BEN.10_1;Porto-Novo;Commune;BEN.10.8_1;BJ.OU.PN;BJ1008;313847;204010008
BEN;Benin;Ouémé;BEN.10_1;Sèmè-Kpodji;Commune;BEN.10.9_1;BJ.OU.SK;BJ1009;264429;204010009
BEN;Benin;Plateau;BEN.11_1;Adja-Ouèrè;Commune;BEN.11.1_1;BJ.PL.AO;BJ1101;138068;204011001
